producers, M, length, time
100, 10000, 1000, 1522
100, 10000, 4000, 248
100, 10000, 4000, 258
100, 10000, 1000, 280
100, 10000, 1000, 267
100, 10000, 1000, 254
100, 10000, 7000, 245
100, 10000, 1000, 225
100, 10000, 4000, 258
100, 10000, 1000, 231
100, 10000, 1000, 270
100, 10000, 1000, 238
100, 10000, 1000, 244
100, 10000, 1000, 246
100, 10000, 1000, 256
100, 10000, 1000, 239
100, 10000, 1000, 609
100, 10000, 7000, 588
100, 10000, 7000, 1429
100, 10000, 1000, 1583
100, 10000, 1000, 376
100, 10000, 1000, 426
100, 10000, 1000, 269
100, 10000, 1000, 248
100, 10000, 1000, 343
100, 10000, 1000, 267
100, 10000, 1000, 388
100, 10000, 6000, 99
100, 10000, 9000, 772
100, 10000, 1000, 373
100, 10000, 1000, 159
100, 10000, 3000, 98
100, 10000, 3000, 418
100, 10000, 1000, 172
100, 10000, 1000, 90
100, 10000, 1000, 67
100, 10000, 1000, 83
100, 10000, 1000, 86
100, 10000, 9000, 87
100, 10000, 1000, 62
100, 10000, 1000, 62
100, 10000, 1000, 64
100, 10000, 1000, 81
100, 10000, 1000, 66
100, 10000, 1000, 271
100, 10000, 8000, 85
100, 10000, 1000, 68
100, 10000, 1000, 62
100, 10000, 1000, 68
100, 10000, 7000, 60
100, 10000, 1000, 81
100, 10000, 1000, 54
100, 10000, 1000, 298
100, 10000, 10000, 82
100, 10000, 1000, 52
100, 10000, 2000, 63
100, 10000, 1000, 57
100, 10000, 1000, 57
100, 10000, 1000, 52
100, 10000, 1000, 54
100, 10000, 1000, 55
100, 10000, 1000, 51
100, 10000, 1000, 57
100, 10000, 1000, 53
100, 10000, 7000, 53
100, 10000, 1000, 64
100, 10000, 1000, 52
100, 10000, 1000, 55
100, 10000, 1000, 56
100, 10000, 1000, 51
100, 10000, 1000, 57
100, 10000, 1000, 56
100, 10000, 2000, 53
100, 10000, 1000, 57
100, 10000, 1000, 61
100, 10000, 1000, 53
100, 10000, 1000, 63
100, 10000, 1000, 264
100, 10000, 1000, 69
100, 10000, 8000, 58
100, 10000, 1000, 63
100, 10000, 1000, 326
100, 10000, 1000, 55
100, 10000, 1000, 59
100, 10000, 1000, 58
100, 10000, 1000, 66
100, 10000, 1000, 80
100, 10000, 1000, 61
100, 10000, 1000, 61
100, 10000, 9000, 65
100, 10000, 1000, 54
100, 10000, 1000, 79
100, 10000, 1000, 82
100, 10000, 2000, 256
100, 10000, 4000, 356
100, 10000, 1000, 54
100, 10000, 1000, 485
100, 10000, 5000, 140
100, 10000, 1000, 103
100, 10000, 1000, 156
100, 10000, 1000, 181
100, 10000, 3000, 123
100, 10000, 1000, 58
100, 10000, 1000, 60
100, 10000, 1000, 243
100, 10000, 1000, 53
100, 10000, 1000, 1259
100, 10000, 1000, 260
100, 10000, 2000, 433
100, 10000, 1000, 63
100, 10000, 1000, 47
100, 10000, 1000, 54
100, 10000, 8000, 51
100, 10000, 1000, 416
100, 10000, 2000, 246
100, 10000, 1000, 396
100, 10000, 4000, 56
100, 10000, 4000, 69
100, 10000, 5000, 55
100, 10000, 1000, 200
100, 10000, 1000, 371
100, 10000, 1000, 606
100, 10000, 7000, 82
100, 10000, 5000, 54
100, 10000, 8000, 418
100, 10000, 1000, 82
100, 10000, 1000, 83
100, 10000, 1000, 53
100, 10000, 1000, 58
100, 10000, 7000, 51
100, 10000, 1000, 575
100, 10000, 10000, 77
100, 10000, 1000, 73
100, 10000, 1000, 63
100, 10000, 8000, 464
100, 10000, 1000, 76
100, 10000, 1000, 66
100, 10000, 1000, 47
100, 10000, 1000, 80
100, 10000, 1000, 49
100, 10000, 1000, 57
100, 10000, 1000, 56
100, 10000, 1000, 54
100, 10000, 1000, 69
100, 10000, 1000, 1700
100, 10000, 4000, 205
100, 10000, 1000, 142
100, 10000, 3000, 137
100, 10000, 1000, 267
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 1000, 92
100, 10000, 3000, 55
100, 10000, 1000, 246
100, 10000, 1000, 155
100, 10000, 1000, 164
100, 10000, 1000, 201
100, 10000, 1000, 142
100, 10000, 1000, 97
100, 10000, 2000, 239
100, 10000, 2000, 472
100, 10000, 5000, 78
100, 10000, 9000, 51
100, 10000, 1000, 71
100, 10000, 1000, 413
100, 10000, 1000, 48
100, 10000, 1000, 66
100, 10000, 1000, 59
100, 10000, 5000, 51
100, 10000, 1000, 76
100, 10000, 6000, 598
100, 10000, 1000, 125
100, 10000, 1000, 131
100, 10000, 9000, 107
100, 10000, 5000, 655
100, 10000, 1000, 77
100, 10000, 1000, 45
100, 10000, 4000, 54
100, 10000, 3000, 52
100, 10000, 1000, 49
100, 10000, 1000, 56
100, 10000, 6000, 50
100, 10000, 1000, 59
100, 10000, 1000, 58
100, 10000, 1000, 56
100, 10000, 1000, 53
100, 10000, 4000, 1395
100, 10000, 1000, 87
100, 10000, 1000, 73
100, 10000, 7000, 53
100, 10000, 1000, 60
100, 10000, 1000, 63
100, 10000, 1000, 534
100, 10000, 1000, 65
100, 10000, 1000, 46
100, 10000, 1000, 47
100, 10000, 2000, 48
100, 10000, 1000, 47
100, 10000, 1000, 47
100, 10000, 1000, 49
100, 10000, 9000, 47
100, 10000, 6000, 700
100, 10000, 1000, 89
100, 10000, 1000, 114
100, 10000, 5000, 480
100, 10000, 1000, 801
100, 10000, 1000, 70
100, 10000, 1000, 62
100, 10000, 6000, 51
100, 10000, 8000, 53
100, 10000, 1000, 67
100, 10000, 1000, 47
100, 10000, 1000, 49
100, 10000, 1000, 101
100, 10000, 1000, 66
100, 10000, 1000, 960
100, 10000, 1000, 77
100, 10000, 1000, 56
100, 10000, 9000, 50
100, 10000, 1000, 49
100, 10000, 1000, 45
100, 10000, 1000, 51
100, 10000, 1000, 48
100, 10000, 1000, 50
100, 10000, 1000, 49
100, 10000, 1000, 54
100, 10000, 8000, 47
100, 10000, 1000, 61
100, 10000, 1000, 592
100, 10000, 3000, 86
100, 10000, 1000, 58
100, 10000, 9000, 50
100, 10000, 10000, 795
100, 10000, 1000, 69
100, 10000, 1000, 63
100, 10000, 1000, 51
100, 10000, 1000, 49
100, 10000, 1000, 53
100, 10000, 1000, 50
100, 10000, 9000, 51
100, 10000, 1000, 526
100, 10000, 1000, 57
100, 10000, 1000, 49
100, 10000, 1000, 49
100, 10000, 1000, 65
100, 10000, 9000, 66
100, 10000, 7000, 55
100, 10000, 2000, 48
100, 10000, 1000, 687
100, 10000, 1000, 52
100, 10000, 1000, 50
100, 10000, 4000, 50
100, 10000, 1000, 47
100, 10000, 1000, 49
100, 10000, 1000, 52
100, 10000, 1000, 48
100, 10000, 3000, 48
100, 10000, 1000, 51
100, 10000, 1000, 48
100, 10000, 1000, 50
100, 10000, 7000, 52
100, 10000, 1000, 51
100, 10000, 2000, 49
100, 10000, 1000, 678
100, 10000, 1000, 47
100, 10000, 6000, 50
100, 10000, 2000, 56
100, 10000, 7000, 48
100, 10000, 1000, 1026
100, 10000, 1000, 94
100, 10000, 8000, 47
100, 10000, 1000, 57
100, 10000, 1000, 59
100, 10000, 1000, 58
100, 10000, 1000, 66
100, 10000, 1000, 86
100, 10000, 1000, 57
100, 10000, 8000, 49
100, 10000, 1000, 52
100, 10000, 1000, 68
100, 10000, 1000, 46
100, 10000, 1000, 51
100, 10000, 1000, 51
100, 10000, 1000, 51
100, 10000, 1000, 59
100, 10000, 1000, 49
100, 10000, 1000, 945
100, 10000, 1000, 71
100, 10000, 1000, 49
100, 10000, 1000, 63
100, 10000, 4000, 52
100, 10000, 1000, 58
100, 10000, 1000, 64
100, 10000, 1000, 59
100, 10000, 1000, 55
100, 10000, 1000, 62
100, 10000, 1000, 50
100, 10000, 1000, 54
100, 10000, 1000, 62
100, 10000, 1000, 65
100, 10000, 7000, 58
100, 10000, 3000, 64
100, 10000, 1000, 696
100, 10000, 1000, 48
100, 10000, 1000, 47
100, 10000, 8000, 48
100, 10000, 1000, 48
100, 10000, 1000, 48
100, 10000, 1000, 48
100, 10000, 1000, 49
100, 10000, 9000, 48
100, 10000, 1000, 48
100, 10000, 1000, 48
100, 10000, 1000, 48
100, 10000, 1000, 53
100, 10000, 1000, 66
100, 10000, 1000, 718
100, 10000, 1000, 99
100, 10000, 1000, 50
100, 10000, 1000, 54
100, 10000, 3000, 52
100, 10000, 4000, 55
100, 10000, 1000, 55
100, 10000, 5000, 48
100, 10000, 1000, 56
100, 10000, 1000, 51
100, 10000, 1000, 63
100, 10000, 8000, 770
100, 10000, 1000, 73
100, 10000, 1000, 48
100, 10000, 1000, 56
100, 10000, 1000, 54
100, 10000, 1000, 55
100, 10000, 1000, 50
100, 10000, 1000, 50
100, 10000, 1000, 53
100, 10000, 1000, 54
100, 10000, 1000, 55
100, 10000, 1000, 53
100, 10000, 9000, 47
100, 10000, 1000, 710
100, 10000, 1000, 85
100, 10000, 1000, 50
100, 10000, 1000, 54
100, 10000, 1000, 51
100, 10000, 1000, 54
100, 10000, 2000, 53
100, 10000, 1000, 52
100, 10000, 5000, 53
100, 10000, 1000, 57
100, 10000, 1000, 51
100, 10000, 1000, 53
100, 10000, 1000, 50
100, 10000, 1000, 53
100, 10000, 2000, 53
100, 10000, 1000, 65
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 8000, 51
100, 10000, 5000, 676
100, 10000, 1000, 60
100, 10000, 7000, 214
100, 10000, 1000, 198
100, 10000, 1000, 56
100, 10000, 1000, 56
100, 10000, 1000, 649
100, 10000, 1000, 60
100, 10000, 7000, 61
100, 10000, 1000, 51
100, 10000, 1000, 47
100, 10000, 1000, 52
100, 10000, 6000, 1095
100, 10000, 1000, 290
100, 10000, 4000, 87
100, 10000, 6000, 121
100, 10000, 1000, 251
100, 10000, 1000, 61
100, 10000, 1000, 784
100, 10000, 1000, 89
100, 10000, 1000, 78
100, 10000, 1000, 49
100, 10000, 1000, 53
100, 10000, 1000, 53
100, 10000, 3000, 53
100, 10000, 4000, 53
100, 10000, 1000, 49
100, 10000, 1000, 55
100, 10000, 2000, 52
100, 10000, 1000, 59
100, 10000, 1000, 55
100, 10000, 1000, 51
100, 10000, 1000, 50
100, 10000, 1000, 65
100, 10000, 1000, 60
100, 10000, 1000, 48
100, 10000, 1000, 64
100, 10000, 1000, 48
100, 10000, 1000, 50
100, 10000, 1000, 48
100, 10000, 1000, 49
100, 10000, 1000, 55
100, 10000, 1000, 52
100, 10000, 3000, 50
100, 10000, 1000, 66
100, 10000, 1000, 49
100, 10000, 1000, 54
100, 10000, 4000, 51
100, 10000, 1000, 104
100, 10000, 1000, 60
100, 10000, 1000, 53
100, 10000, 1000, 618
100, 10000, 1000, 72
100, 10000, 1000, 52
100, 10000, 1000, 51
100, 10000, 2000, 53
100, 10000, 1000, 59
100, 10000, 1000, 75
100, 10000, 1000, 56
100, 10000, 8000, 51
100, 10000, 1000, 55
100, 10000, 1000, 52
100, 10000, 1000, 52
100, 10000, 1000, 50
100, 10000, 1000, 50
100, 10000, 1000, 65
100, 10000, 1000, 65
100, 10000, 1000, 54
100, 10000, 1000, 48
100, 10000, 1000, 49
100, 10000, 1000, 49
100, 10000, 4000, 47
100, 10000, 1000, 638
100, 10000, 1000, 75
100, 10000, 1000, 49
100, 10000, 5000, 51
100, 10000, 2000, 53
100, 10000, 1000, 52
100, 10000, 6000, 51
100, 10000, 1000, 53
100, 10000, 1000, 54
100, 10000, 1000, 49
100, 10000, 4000, 50
100, 10000, 1000, 50
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 1000, 1043
100, 10000, 1000, 82
100, 10000, 1000, 48
100, 10000, 1000, 56
100, 10000, 1000, 54
100, 10000, 1000, 56
100, 10000, 1000, 52
100, 10000, 2000, 53
100, 10000, 1000, 51
100, 10000, 1000, 54
100, 10000, 8000, 1042
100, 10000, 1000, 58
100, 10000, 1000, 41
100, 10000, 3000, 46
100, 10000, 1000, 51
100, 10000, 1000, 49
100, 10000, 1000, 558
100, 10000, 1000, 85
100, 10000, 1000, 46
100, 10000, 1000, 67
100, 10000, 10000, 53
100, 10000, 1000, 51
100, 10000, 1000, 50
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 1000, 50
100, 10000, 1000, 49
100, 10000, 1000, 763
100, 10000, 4000, 95
100, 10000, 1000, 66
100, 10000, 1000, 54
100, 10000, 1000, 64
100, 10000, 1000, 62
100, 10000, 1000, 62
100, 10000, 1000, 54
100, 10000, 1000, 55
100, 10000, 1000, 46
100, 10000, 8000, 55
100, 10000, 1000, 54
100, 10000, 1000, 59
100, 10000, 1000, 50
100, 10000, 1000, 55
100, 10000, 1000, 54
100, 10000, 1000, 58
100, 10000, 8000, 50
100, 10000, 9000, 1594
100, 10000, 1000, 69
100, 10000, 1000, 694
100, 10000, 1000, 69
100, 10000, 4000, 75
100, 10000, 1000, 162
100, 10000, 1000, 50
100, 10000, 4000, 56
100, 10000, 1000, 185
100, 10000, 1000, 66
100, 10000, 1000, 50
100, 10000, 1000, 68
100, 10000, 1000, 63
100, 10000, 1000, 59
100, 10000, 1000, 52
100, 10000, 1000, 53
100, 10000, 1000, 57
100, 10000, 1000, 84
100, 10000, 4000, 120
100, 10000, 1000, 52
100, 10000, 1000, 115
100, 10000, 1000, 53
100, 10000, 1000, 52
100, 10000, 1000, 94
100, 10000, 1000, 89
100, 10000, 1000, 84
100, 10000, 3000, 53
100, 10000, 1000, 86
100, 10000, 1000, 68
100, 10000, 1000, 52
100, 10000, 1000, 57
100, 10000, 1000, 48
100, 10000, 1000, 52
100, 10000, 1000, 88
100, 10000, 1000, 131
100, 10000, 1000, 112
100, 10000, 1000, 51
100, 10000, 1000, 607
100, 10000, 1000, 72
100, 10000, 1000, 49
100, 10000, 6000, 54
100, 10000, 1000, 66
100, 10000, 1000, 43
100, 10000, 3000, 48
100, 10000, 1000, 51
100, 10000, 1000, 51
100, 10000, 1000, 53
100, 10000, 1000, 46
100, 10000, 1000, 48
100, 10000, 7000, 595
100, 10000, 2000, 59
100, 10000, 1000, 49
100, 10000, 3000, 1240
100, 10000, 1000, 274
100, 10000, 1000, 69
100, 10000, 1000, 78
100, 10000, 1000, 85
100, 10000, 6000, 55
100, 10000, 1000, 67
100, 10000, 1000, 67
100, 10000, 1000, 73
100, 10000, 1000, 57
100, 10000, 3000, 107
100, 10000, 1000, 933
100, 10000, 1000, 73
100, 10000, 1000, 454
100, 10000, 1000, 94
100, 10000, 1000, 76
100, 10000, 1000, 44
100, 10000, 2000, 51
100, 10000, 1000, 52
100, 10000, 1000, 50
100, 10000, 1000, 49
100, 10000, 1000, 47
100, 10000, 4000, 54
100, 10000, 7000, 49
100, 10000, 1000, 48
100, 10000, 1000, 50
100, 10000, 1000, 49
100, 10000, 1000, 58
100, 10000, 1000, 52
100, 10000, 1000, 48
100, 10000, 1000, 52
100, 10000, 4000, 53
100, 10000, 1000, 41
100, 10000, 1000, 45
100, 10000, 1000, 44
100, 10000, 1000, 554
100, 10000, 1000, 61
100, 10000, 7000, 51
100, 10000, 1000, 58
100, 10000, 1000, 51
100, 10000, 9000, 51
100, 10000, 1000, 64
100, 10000, 1000, 51
100, 10000, 1000, 602
100, 10000, 1000, 64
100, 10000, 3000, 51
100, 10000, 1000, 51
100, 10000, 1000, 49
100, 10000, 1000, 56
100, 10000, 8000, 50
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 3000, 49
100, 10000, 1000, 56
100, 10000, 1000, 425
100, 10000, 1000, 73
100, 10000, 7000, 48
100, 10000, 1000, 49
100, 10000, 1000, 51
100, 10000, 1000, 52
100, 10000, 1000, 824
100, 10000, 2000, 79
100, 10000, 2000, 51
100, 10000, 1000, 53
100, 10000, 1000, 49
100, 10000, 3000, 49
100, 10000, 1000, 50
100, 10000, 1000, 50
100, 10000, 1000, 48
100, 10000, 1000, 50
100, 10000, 10000, 49
100, 10000, 1000, 50
100, 10000, 1000, 48
100, 10000, 1000, 55
100, 10000, 1000, 52
100, 10000, 1000, 51
100, 10000, 1000, 646
100, 10000, 10000, 72
100, 10000, 1000, 79
100, 10000, 1000, 51
100, 10000, 6000, 1102
100, 10000, 1000, 1789
100, 10000, 1000, 147
100, 10000, 1000, 55
100, 10000, 1000, 58
100, 10000, 6000, 63
100, 10000, 1000, 55
100, 10000, 6000, 51
100, 10000, 1000, 49
100, 10000, 6000, 667
100, 10000, 1000, 70
100, 10000, 1000, 52
100, 10000, 1000, 50
100, 10000, 1000, 53
100, 10000, 1000, 51
100, 10000, 1000, 46
100, 10000, 1000, 47
100, 10000, 1000, 54
100, 10000, 5000, 50
100, 10000, 6000, 57
100, 10000, 1000, 66
100, 10000, 1000, 616
100, 10000, 1000, 90
100, 10000, 1000, 65
100, 10000, 1000, 74
100, 10000, 1000, 52
100, 10000, 7000, 46
100, 10000, 4000, 55
100, 10000, 1000, 48
100, 10000, 1000, 61
100, 10000, 1000, 58
100, 10000, 1000, 58
100, 10000, 1000, 49
100, 10000, 1000, 55
100, 10000, 1000, 65
100, 10000, 1000, 891
100, 10000, 5000, 53
100, 10000, 1000, 46
100, 10000, 9000, 49
100, 10000, 1000, 51
100, 10000, 1000, 47
100, 10000, 1000, 2381
100, 10000, 3000, 67
100, 10000, 1000, 77
100, 10000, 1000, 50
100, 10000, 1000, 44
100, 10000, 1000, 54
100, 10000, 10000, 52
100, 10000, 8000, 830
100, 10000, 3000, 59
100, 10000, 1000, 61
100, 10000, 1000, 48
100, 10000, 1000, 84
100, 10000, 1000, 541
100, 10000, 1000, 52
100, 10000, 1000, 62
100, 10000, 1000, 53
100, 10000, 2000, 59
100, 10000, 6000, 58
100, 10000, 1000, 50
100, 10000, 1000, 54
100, 10000, 1000, 52
100, 10000, 1000, 51
100, 10000, 1000, 51
100, 10000, 10000, 54
100, 10000, 1000, 51
100, 10000, 1000, 53
100, 10000, 1000, 51
100, 10000, 1000, 50
100, 10000, 1000, 51
100, 10000, 1000, 50
100, 10000, 1000, 54
100, 10000, 1000, 51
100, 10000, 1000, 936
100, 10000, 2000, 57
100, 10000, 1000, 58
100, 10000, 6000, 51
100, 10000, 1000, 50
100, 10000, 1000, 49
100, 10000, 1000, 50
100, 10000, 1000, 650
100, 10000, 1000, 50
100, 10000, 1000, 52
100, 10000, 1000, 54
100, 10000, 1000, 63
100, 10000, 3000, 58
100, 10000, 10000, 49
100, 10000, 1000, 49
100, 10000, 1000, 469
100, 10000, 1000, 64
100, 10000, 2000, 52
100, 10000, 1000, 58
100, 10000, 1000, 53
100, 10000, 1000, 65
100, 10000, 3000, 62
100, 10000, 1000, 50
100, 10000, 2000, 50
100, 10000, 5000, 50
100, 10000, 1000, 51
100, 10000, 2000, 49
100, 10000, 1000, 49
100, 10000, 1000, 53
100, 10000, 1000, 48
100, 10000, 1000, 636
100, 10000, 8000, 57
100, 10000, 1000, 49
100, 10000, 1000, 50
