implementation, threads, time
FixedThreadPool, 1, 708747167
FixedThreadPool, 1, 810376550
FixedThreadPool, 1, 668923134
FixedThreadPool, 1, 538797716
FixedThreadPool, 1, 568990547
FixedThreadPool, 1, 538331984
FixedThreadPool, 1, 536388359
FixedThreadPool, 1, 569999286
FixedThreadPool, 1, 531620423
FixedThreadPool, 1, 545262393
FixedThreadPool, 3, 185256087
FixedThreadPool, 3, 223479329
FixedThreadPool, 3, 194526024
FixedThreadPool, 3, 190130402
FixedThreadPool, 3, 188670461
FixedThreadPool, 3, 198270291
FixedThreadPool, 3, 186909656
FixedThreadPool, 3, 230539720
FixedThreadPool, 3, 186236310
FixedThreadPool, 3, 187381406
FixedThreadPool, 5, 154333613
FixedThreadPool, 5, 149706471
FixedThreadPool, 5, 146605061
FixedThreadPool, 5, 155899538
FixedThreadPool, 5, 190483789
FixedThreadPool, 5, 153259839
FixedThreadPool, 5, 150533175
FixedThreadPool, 5, 149510476
FixedThreadPool, 5, 149043747
FixedThreadPool, 5, 156713416
FixedThreadPool, 7, 151295829
FixedThreadPool, 7, 156006405
FixedThreadPool, 7, 151541834
FixedThreadPool, 7, 171827373
FixedThreadPool, 7, 197700813
FixedThreadPool, 7, 163921034
FixedThreadPool, 7, 151986188
FixedThreadPool, 7, 161940323
FixedThreadPool, 7, 153707511
FixedThreadPool, 7, 160513752
FixedThreadPool, 9, 144217307
FixedThreadPool, 9, 152343582
FixedThreadPool, 9, 150235105
FixedThreadPool, 9, 158797544
FixedThreadPool, 9, 147144178
FixedThreadPool, 9, 153592796
FixedThreadPool, 9, 144850682
FixedThreadPool, 9, 147285736
FixedThreadPool, 9, 141058304
FixedThreadPool, 9, 159755661
FixedThreadPool, 10, 150218670
FixedThreadPool, 10, 148423477
FixedThreadPool, 10, 146796439
FixedThreadPool, 10, 146966124
FixedThreadPool, 10, 144540670
FixedThreadPool, 10, 153149899
FixedThreadPool, 10, 147024876
FixedThreadPool, 10, 200839496
FixedThreadPool, 10, 153790633
FixedThreadPool, 10, 149771612
FixedThreadPool, 20, 142968585
FixedThreadPool, 20, 151702715
FixedThreadPool, 20, 149784931
FixedThreadPool, 20, 156057426
FixedThreadPool, 20, 145525913
FixedThreadPool, 20, 161342832
FixedThreadPool, 20, 141739737
FixedThreadPool, 20, 147535082
FixedThreadPool, 20, 150560361
FixedThreadPool, 20, 171830162
FixedThreadPool, 30, 146218154
FixedThreadPool, 30, 153521866
FixedThreadPool, 30, 147170757
FixedThreadPool, 30, 147666451
FixedThreadPool, 30, 141947777
FixedThreadPool, 30, 151793222
FixedThreadPool, 30, 145658890
FixedThreadPool, 30, 148933267
FixedThreadPool, 30, 147404687
FixedThreadPool, 30, 152047891
FixedThreadPool, 40, 143572759
FixedThreadPool, 40, 192027317
FixedThreadPool, 40, 152004176
FixedThreadPool, 40, 149283261
FixedThreadPool, 40, 143482097
FixedThreadPool, 40, 157105099
FixedThreadPool, 40, 141829796
FixedThreadPool, 40, 146295858
FixedThreadPool, 40, 150683258
FixedThreadPool, 40, 152334968
FixedThreadPool, 50, 102502570
FixedThreadPool, 50, 95679512
FixedThreadPool, 50, 99922712
FixedThreadPool, 50, 98823205
FixedThreadPool, 50, 98441138
FixedThreadPool, 50, 94799592
FixedThreadPool, 50, 96528354
FixedThreadPool, 50, 102599959
FixedThreadPool, 50, 104179060
FixedThreadPool, 50, 98733236
FixedThreadPool, 60, 144222269
FixedThreadPool, 60, 131336374
FixedThreadPool, 60, 136794457
FixedThreadPool, 60, 128742785
FixedThreadPool, 60, 134278154
FixedThreadPool, 60, 128119301
FixedThreadPool, 60, 142380740
FixedThreadPool, 60, 138140104
FixedThreadPool, 60, 135917767
FixedThreadPool, 60, 136986136
FixedThreadPool, 70, 148796791
FixedThreadPool, 70, 141106887
FixedThreadPool, 70, 145384493
FixedThreadPool, 70, 195252563
FixedThreadPool, 70, 147110310
FixedThreadPool, 70, 143102210
FixedThreadPool, 70, 155196947
FixedThreadPool, 70, 142281234
FixedThreadPool, 70, 144412017
FixedThreadPool, 70, 151942895
FixedThreadPool, 80, 189757019
FixedThreadPool, 80, 146578709
FixedThreadPool, 80, 153547329
FixedThreadPool, 80, 144979713
FixedThreadPool, 80, 145550540
FixedThreadPool, 80, 144989303
FixedThreadPool, 80, 158306813
FixedThreadPool, 80, 143060079
FixedThreadPool, 80, 150164042
FixedThreadPool, 80, 145790136
FixedThreadPool, 90, 154732689
FixedThreadPool, 90, 142076219
FixedThreadPool, 90, 151940554
FixedThreadPool, 90, 151455936
FixedThreadPool, 90, 144537154
FixedThreadPool, 90, 141836909
FixedThreadPool, 90, 151639404
FixedThreadPool, 90, 143340430
FixedThreadPool, 90, 147950202
FixedThreadPool, 90, 151940018
