implementation, tasks, time
newWorkStealingPool, 10, 610305058
newWorkStealingPool, 110, 238892639
newWorkStealingPool, 210, 249180886
newWorkStealingPool, 310, 209301469
newWorkStealingPool, 410, 193717649
newWorkStealingPool, 510, 210745502
newWorkStealingPool, 610, 383848649
newWorkStealingPool, 710, 250399137
newWorkStealingPool, 810, 223979492
newWorkStealingPool, 10, 256782789
newWorkStealingPool, 110, 221655582
newWorkStealingPool, 210, 181990074
newWorkStealingPool, 310, 139126959
newWorkStealingPool, 410, 155225051
newWorkStealingPool, 510, 106700670
newWorkStealingPool, 610, 180258013
newWorkStealingPool, 710, 163282568
newWorkStealingPool, 810, 149694466
newWorkStealingPool, 10, 167288339
newWorkStealingPool, 110, 153152345
newWorkStealingPool, 210, 159625634
newWorkStealingPool, 310, 140846795
newWorkStealingPool, 410, 155880498
newWorkStealingPool, 510, 107370924
newWorkStealingPool, 610, 145345593
newWorkStealingPool, 710, 149732749
newWorkStealingPool, 810, 157455253
newWorkStealingPool, 10, 178640858
newWorkStealingPool, 110, 158939349
newWorkStealingPool, 210, 154068660
newWorkStealingPool, 310, 151106565
newWorkStealingPool, 410, 144719963
newWorkStealingPool, 510, 145098812
newWorkStealingPool, 610, 146053671
newWorkStealingPool, 710, 151511214
newWorkStealingPool, 810, 144269901
newWorkStealingPool, 10, 177998650
newWorkStealingPool, 110, 145704219
newWorkStealingPool, 210, 160263875
newWorkStealingPool, 310, 136576161
newWorkStealingPool, 410, 155518933
newWorkStealingPool, 510, 103914650
newWorkStealingPool, 610, 138520212
newWorkStealingPool, 710, 159919958
newWorkStealingPool, 810, 178661882
newWorkStealingPool, 10, 161100742
newWorkStealingPool, 110, 155922676
newWorkStealingPool, 210, 144235387
newWorkStealingPool, 310, 149396544
newWorkStealingPool, 410, 142407638
newWorkStealingPool, 510, 115553258
newWorkStealingPool, 610, 135382684
newWorkStealingPool, 710, 144576753
newWorkStealingPool, 810, 154680417
newWorkStealingPool, 10, 165203352
newWorkStealingPool, 110, 196870135
newWorkStealingPool, 210, 158037648
newWorkStealingPool, 310, 137207017
newWorkStealingPool, 410, 150985637
newWorkStealingPool, 510, 103616755
newWorkStealingPool, 610, 139460515
newWorkStealingPool, 710, 178098474
newWorkStealingPool, 810, 199028125
newWorkStealingPool, 10, 189908888
newWorkStealingPool, 110, 174085965
newWorkStealingPool, 210, 150185227
newWorkStealingPool, 310, 145344455
newWorkStealingPool, 410, 153932280
newWorkStealingPool, 510, 106682818
newWorkStealingPool, 610, 135476132
newWorkStealingPool, 710, 150971065
newWorkStealingPool, 810, 146282308
newWorkStealingPool, 10, 168454504
newWorkStealingPool, 110, 149819419
newWorkStealingPool, 210, 151789557
newWorkStealingPool, 310, 137627430
newWorkStealingPool, 410, 172889587
newWorkStealingPool, 510, 106381286
newWorkStealingPool, 610, 137507842
newWorkStealingPool, 710, 147564717
